,author,title,year,places
0,Jean Spanjersberg,"De institutionele groei van het Nederlandse ontwikkelingsbeleid, 1945-1983",1983,[]
1,Dick de Winter,Disciplinering van protestgedrag van havenarbeiders in de Rotterdamse haven (1914-1922) : de loonraad (1918-1921),1983,[]
2,Christi Boerdam,"Ongehuwde moeders te Rotterdam in het laatste kwart van de achttiende eeuw : ""... want ik heb nooit met iemand anders te doen gehad""",1983,"[['Rotterdam', '4.479167', '51.930833']]"
3,B W H Guyt,De visserij op de Noordzee : de lage landen aan de zee (1400 tot 1795),1983,"[['North Sea', '3.0', '56.0']]"
4,Harma Tent,Het beeld van de Amerikaanse indiaan in Iberisch en Noord-West Europees perspectief,1983,"[['United States', '-100.0', '40.0']]"
5,Rob Vroom,Integratie van aspectmatige historische kennis : een onderzoek naar de samenhang van maatschappij-historische componenten,1984,[]
6,Conny Coenders,De invloed van olie op machtsverhoudingen in het Midden-Oosten,1984,"[['Middle East', '35.6', '32.8']]"
7,Loes Meeuwisse,"De verzorgingsstaat: gunstig voor vrouwen? : de positie van de vrouw in het Nederlandse stelsel van sociale zekerheid, 1945-1975",1984,[]
8,Fiona de Vos,Geschiedenis van het koloniaal paradigma,1984,[]
9,Annick Schreuder,Een technische terugblik op arbeid,1984,[]
10,Arthur van 't Hof,Maerlant versus Robert de Boron : een nadere plaatsbepaling van Jacob van Maerlants 'Historie van den grale' ten opzichte van zijn oudfranse origineel,1984,[]
11,M  R Doortmont,De organisatie van de Atlantische handel in het Westafrikaanse kustgebied : een voorstudie betreffende de tweede helft van de achttiende eeuw,1984,[]
12,Hugo van Driel,De vorming en de ontwikkeling van de middenstand in Nederland tot 1940,1984,"[['Netherlands', '5.55', '52.316667']]"
13,L Frank,Innovatie en economie : een effectieve economische politiek,1984,[]
14,Marianne Cazemier-Kleij,De arbeidszorg voor gehandicapten over de periode 1920-1984 : van liefdadigheid tot overheidszorg,1984,[]
15,J F M Koppenjan,Interconfessionalisme en verzuiling in Limburg 1900-1920,1984,"[['Limburg (Netherlands)', '5.936111', '51.21']]"
16,Marlies Jongejan,Weeldeboden en werkboden : huispersoneel in Goes in de achttiende en het begin van de negentiende eeuw,1984,"[['Goes', '3.883333', '51.5']]"
17,Michal Citroen,Opvang van joodse oorlogsslachtoffers in de periode 1945 tot en met 1950,1984,[]
18,Mimi Kämper-Attema,Echtscheiding en maatschappelijke ongelijkheid : een onderzoek naar de invloed van de arbeidsmarkt op de positie van de gescheiden vrouw,1984,[]
19,Peter Valks,Het Nederlandse multilaterale ontwikkelingssamenwerkingsbeleid 1973-1983,1984,[]
20,Lia Wessels,Veranderingen in doelstellingen van het nederlandse landbouwbeleid 1946-1962 : een systeemtheoretische benadering,1985,[]
21,T C Leijh,Sociaal-fascisten of ........ broeders in de klassenstrijd? : hoe de Nederlandse communisten zich opstelden ten opzichte van de sociaal-democraten van de SDAP in de periode vanaf februari 1930 tot aan het uitbreken van de Tweede Wereldoorlog op 10 mei 1940,1985,"[['Netherlands', '5.55', '52.316667']]"
22,Arjan van Aelst,De Nederlandse handel in Japan in de 19e eeuw,1985,"[['Japan', '136.0', '35.0']]"
23,Mike Ackermans,De veranderingen in de Nederlandse reclamebedrijfstak in de jaren zestig,1985,[]
24,J W Moll,Zuigelingensterfte in Charlois en Katendrecht,1985,"[['Katendrecht', '4.483333', '51.9'], ['Charlois', '4.466667', '51.9']]"
25,Johan Schot,De ontwikkeling van de techniek als een variatie- en selectieproces : de meekrapteelt en -bereiding in het licht van een alternatieve techniekopvatting,1985,[]
26,Paul Simons,Een mentaal-culturele analyse van het verborgen leerplan in het kookonderwijs aan aspirant huisvrouwen en dienstboden in Rotterdam tussen 1891 en 1930 in het perspectief van een gezinspolitiek,1985,"[['Rotterdam', '4.479167', '51.930833']]"
27,Myriam Daru,De kwestie der faecalien : de afvoer van menselijke uitwerpselen als stadshygienisch probleem in Nederlandse steden tussen het einde van de achttiende eeuw en het laatste kwart van de negentiende eeuw,1985,[]
28,F M M  de Goey,"Geen woorden, maar daden! : het Rotterdamse politieke klimaat : analyse van de invloedsrelatie tussen het bedrijfsleven en de lokale overheid met betrekking tot het havenbeleid van de gemeente Rotterdam : 1945-1960",1985,"[['Rotterdam', '4.479167', '51.930833']]"
29,B Nortier,Technologie en arbeid in de Rotterdamse haven tussen 1880 en 1980 : een kritiek op het technologisch determinisme,1985,[]
30,Annelieke Zonne,De haven van Rotterdam en de EEG 1955-1960 : (een onderzoek naar de reactie van de Rotterdamse haven op de totstandkoming van de Europese gemeenschappelijke markt),1985,"[['Port of Rotterdam', '4.2867', '51.885'], ['Europe', '7.0', '46.0']]"
31,Lisbeth F M Sassen,Over twee patriotse tijdschriften : denkbeelden en rol in de Rotterdamse patriottenbeweging 1785-1787,1985,[]
32,N  den Tuinder,Bevolkingsgroei in koloniaal Noord-India 1881-1941 : een poging tot een 'labour-demand' interpretatie,1985,[]
33,Ineke Schepers,De badplaats Domburg 1834-1920,1985,[]
34,Anneloes de Haas,"Arbeidsbemiddeling voor dienstboden, 1880-1920",1985,[]
35,Ad Brouwer,"Uitkeringen en volkshuisvesting van de Rotterdamse armenzorg 1930-1965 : sociale en morele politiek, hulpverlening en dwang, in- en uitsluiting",1986,[]
36,Saskia R Jonkergouw,"Bouwen op ideeen : een historisch overzicht van ideeen over stadsplanning, in het bijzonder over de verspreiding van het tuinstadconcept in Nederland geillustreerd met een voorbeeld: 1900-1930",1986,"[['Netherlands', '5.55', '52.316667']]"
37,Jaap Vogel,"De zijde- en garenlintnijverheid te Haarlem, 1663-1780 : een sociaal-economische en bedrijfshistorische verkenning",1986,"[['Haarlem', '4.640556', '52.380278']]"
38,B G  van Nijnatten,Maatschappelijk werk : professie in de marge : de perceptie van professionalisering en professionaliseringsstrategieën binnen de beroepsverenigingen voor maatschappelijk werkers (1947-1978),1986,[]
39,Th Klein,Ontrouw aan de vaderen? : een onderzoek naar de religieuze component in de beleving van de werkelijkheid van de gereformeerden na de Tweede Wereldoorlog en de veranderingen hierin aan de hand van literatuurrecensies in het dagblad Trouw,1986,[]
40,Marie-José de Rooij,"Vijandbeeld in historisch perspectief : een onderzoek naar de toepassingsmogelijkheden van beeldvormingstheorieën voor de verklaring van vijandbeelden in zuid-oost azië, na 1947",1986,"[['Asia', '104.3', '77.716667']]"
41,J M Stellingwerf,Openbaar kunstbezit: een nieuw experiment in het Nederlandse culturele leven? : een reconstructie,1986,[]
42,Peter Olsthoorn,Vrijgemaakt Gereformeerden in Berkel en Rodenrijs 1935-1955 : een detailstudie naar locale verzuiling,1986,"[['Berkel en Rodenrijs', '4.47', '51.99']]"
43,Franka van der Rijt,Een stroom van vluchtelingen : het vluchtelingenbeleid van de gemeenten Roosendaal en Bergen op Zoom in het begin van de Eerste Wereldoorlog,1986,"[['Bergen op Zoom', '4.3', '51.5'], ['Roosendaal', '4.45', '51.533333']]"
44,George Geldof,De discussie over vrede en veiligheid in de PvdA in de periode 1958-1973,1986,[]
45,Nick Ooms,"""Heldere hoofden in troebele tijden""",1986,[]
46,Dirk Maarten Ligtermoet,Nederland en de internationale samenwerking voor de zeevisserij : internationaal beheer van de visvoorraden en regeling van de nationale visserij-grenzen in en buiten de Europese Gemeenschap,1986,"[['Netherlands', '5.55', '52.316667']]"
47,Jeannette Oostdijk,"""Coal was king"" : een vergelijking tussen de mijnwerkersstaking van 1926 en die van 1984",1986,[]
48,Job Kerssies,Het verval van de glasnijverheid in de Republiek : een economisch- en techniekhistorisch onderzoek,1986,[]
49,A H C Smits,De marketingtheorie in relatie tot de donateur van een missie-organisatie,1986,[]
50,R  R Sankatsing,De emigratie van Surinamers naar Nederland 1945-1980 : het ontstaan van voorwaarden,1986,[]
51,Désirée van Dijk,"Annexatie: de gevolgen voor een leefgemeenschap : een vergelijking tussen Hoogvliet, Pernis, Poortugaal en Rhoon",1986,"[['Rhoon', '4.433333', '51.866667'], ['Pernis, Netherlands', '4.383333', '51.883333'], ['Poortugaal', '4.4', '51.866667'], ['Hoogvliet', '4.35', '51.866667']]"
52,Rieky Peeters,"De problemen van de Europese vroomheidsbeweging en de mystiek van Margaretha Porete, een parel van liefde temidden van ketterijen en kerkelijk verweer",1986,"[['Europe', '7.0', '46.0']]"
53,A F W  van Overbeeke,De Rotterdamse Gezondheidscommissie : in hinderlijke dialoog met machten en krachten 1854-1934,1986,[]
54,A  J Muilwijk,"Nieuw-Guinea, 1919-1949 : continuïteit of discontinuïteit inzake het Nederlandse regeringsbeleid?",1986,"[['New Guinea', '141.0', '-5.5']]"
55,K Mulder,Reserve-arbeid in een reserve-kolonie : immigratie en kolonisatie van de Javanen in Suriname 1890-1950,1987,"[['Suriname', '-56.0', '4.3']]"
56,C W Hageman,Arbeid adelt? : een onderzoek naar de maatschappelijke reakties op het niet deelnemen aan het arbeidsproces van zwakzinnigen,1987,[]
57,Peter J  van Baalen,"Opleiding in verandering : een bedrijfshistorische studie van de opleiding van hogere ambtenaren bij de PTT, 1945-1970",1987,[]
58,Kitty Heeremans,Opgroeien voor galg en rad : een onderzoek naar de zorg van overheid en particulier initiatief voor jeugddelinquenten in de negentiende eeuw,1987,[]
59,Timo Bank,Ontwikkelingssamenwerking met Indonesië : mensenrechten en ekonomische belangen : een onderzoek naar de binnenlandse beinvloeding van het beleid van Ontwikkelingssamenwerking ten aanzien van Indonesië,1987,"[['Indonesia', '106.828333', '-6.175']]"
60,Wim Tromp,"Nederland in de Volkenbond : een onderzoek naar wapenvermindering en het systeem van collectieve veiligheid, 1920-1926",1987,"[['Netherlands', '5.55', '52.316667']]"
61,Arthur du Crocq,25 jaar personeelbeleid by de Heidemy 1963 1986 : reconstructie van een beleidsontwikkelingsproces,1987,[]
62,T M F  van Gils,Wat zal mijne dochter worden? : feminisme en vakonderwijs voor vrouwen in Nederland 1860-1940,1987,"[['Netherlands', '5.55', '52.316667']]"
63,Peter Rotte,"De komst van de Makenamut : Balong, immigranten en de koloniale staat in Brits Kameroen, omstreeks 1915 tot 1940",1987,"[['Cameroon', '11.916667', '5.116667'], ['United Kingdom', '-2.433333', '53.55']]"
64,Carla van den Berg,Arme bejaarden : macht en afhankelijkheid in het Rotterdams gemeente-armhuis 1900-1940,1987,[]
65,Rinus Wagenaar,Was getekend : een onderzoek naar het beeld van Duitsland in de Nederlandse politieke spotprenten van Het Volk en De Telegraaf gedurende de periode 1932-1940,1987,"[['Germany', '9.916667', '51.516667']]"
66,J L M Uljee,De Mexicaanse immigratie naar de Verenigde Staten 1942-1987 : in relatie tot de Amerikaanse asieltraditie,1987,"[['United States', '-100.0', '40.0'], ['Mexico', '-102.366667', '19.0']]"
67,A A Bekker,"""Het Joodse probleem"" : een onderzoek naar het gedrag van de Gereformeerde Kerken in Nederland ten aanzien van de jodenvervolging 1933-1945",1987,[]
68,Sandra Loggen,De invloed van de grondwetswijziging van 1848 op de bestuurlijke organisatiestructuur van de hoogheemraadschappen Schieland en Delfland,1987,"[['Hoogheemraadschap van Delfland', '4.4', '52.0']]"
69,Karlo J F Heijnen,De modernisering van de stukgoedsector in de Rotterdamse haven tussen 1945-1985,1987,[]
70,H F  van der Velden,Levensomstandigheden van werklozen en werkenden in de jaren dertig,1987,[]
71,Paul T  van de Laar,Twee heren vinden elkaar : de fusie van de NRC en het Algemeen Handelsblad tegen de achtergrond van de persconcentratie in Europa,1987,"[['Europe', '7.0', '46.0']]"
72,Jeroen Joustra,Italiaanse werknemers in de Nederlandse industrie : werving en opvang 1948-1969,1987,"[['Italy', '12.0', '43.0']]"
73,R Jonker,De introduktie van de computer bij de behandeling van containers,1987,[]
74,Liliane Bakker,"""Dit leven is maar een pelgrimage"" : Antoinette Bourignon (1616-1680) als gids",1987,[]
75,G G Becker,"Van collectivistisch naar personalistisch : een bedrijfshistorische studie naar het wervings-, selectie- en promotiebeleid bij het Staatsbedrijf der PTT, 1945-1970",1987,[]
76,Lucie van Mens,"De statusscheppers : sociale mobiliteit in Wajo, 1905-1950",1987,[]
77,Geert Renes,"""Dienstencentra voor bejaarden"" : een beleidshistorische studie van een instrument van Nederlands bejaardenbeleid in de jaren zestig en zeventig van deze eeuw",1987,[]
78,Jos Touw,"De historiografie over de patriottentijd en de Bataafse tijd voor Colenbrander, G.W. Vreede, J.A. Sillem en W.H. de Beaufort",1987,[]
79,Ton van Drunen,"Etnocentrisme en geschiedenis : (het beeld van) Japan in geschiedenisboeken, 1920-1980",1987,"[['Japan', '136.0', '35.0']]"
80,Sandra van Beek,"Sodomietenvervolgingen in Rotterdam, 1700-1811",1987,"[['Rotterdam', '4.479167', '51.930833']]"
81,M A V Klein-Meijer,George Psalmanazar (1679-1763) : de Europese Formosaan,1987,[]
82,Dorine van Namen,"Twaalf ambachten, dertien ongelukken? : etnische ondernemerschap in twee crises",1987,[]
83,Rob van 't Wel,Technologie en protest in de Rotterdamse haven 1880-1986,1987,[]
84,Olivier Cohen Stuart,Enkele reis Rotterdam : plattelanders en hun nakomelingen in de stad Rotterdam eind 19e - begin 20e eeuw,1987,"[['Rotterdam', '4.479167', '51.930833']]"
85,Thea van Biemen,"Het Humanistisch Verbond 1946-1977 : historisch onderzoek naar het denken over liefde, sex, arbeid en emancipatie",1987,[]
86,Ab Borgman,"Dralen of verhalen? : een historisch-sociologische, comparatieve analyse van patronen van studentenactivisme in Rotterdam, Amsterdam en Nijmegen: 1963-1973",1987,"[['Nijmegen', '5.855556', '51.825'], ['Amsterdam', '4.892222', '52.373056'], ['Rotterdam', '4.479167', '51.930833']]"
87,René van der Zwet,Samuel Goudsmit (1884-1954): een schrijversleven : leven en werk van een joods auteur tegen de achtergrond van het Nederlandse jodendom in de periode 1900-1940,1987,[]
88,Bernadette Kester,"De relatie tussen film, realiteit en ideologie : film bekeken in het perspektief van de periode 1918-1928 in Duitsland",1987,"[['Germany', '9.916667', '51.516667']]"
89,Lilianne Ploumen,Het image van de farmaceutische industrie : een historische schets van de interactie tussen samenleving en onderneming,1987,[]
90,Florence Imandt,"'De onverbloemde waarheid'? : interne legervoorlichting met betrekking tot Indonesië 1945-1950, en de relatie met moreel",1988,"[['Indonesia', '106.828333', '-6.175']]"
91,Marcel de Kort,De problematisering van het druggebruik in Nederland 1850-1940,1988,"[['Netherlands', '5.55', '52.316667']]"
92,Nelleke Bos,De Atelierwoningen aan de zomerdijkstraat in Amsterdam : 'nieuwe uitingen op het gebied van kunst en wetenschap doen altijd veel stof opwaaien',1988,"[['Zomerdijkstraat', '4.903611', '52.3425'], ['Amsterdam', '4.892222', '52.373056']]"
93,Ruud Rottier,"Historisch bewustzijn in beeld : historieprentenbezit en historisch bewustzijn in Middelburg, 1750-1815",1988,"[['Middelburg', '3.616667', '51.5']]"
94,Annet den Hoed,Het KNIL: een vergeten leger? : een beleids-historische analyse van de reorganisatie van het KNIL. Het militaire personeelsbeleid van het KNIL in de periode 1945-1951,1988,[]
95,Peter Schilthuizen,Beelden van Amerika : beeldvorming over Amerika en Amerikaanse invloeden in Nederlandse jongerentijdschriften in de jaren zestig,1988,"[['United States', '-100.0', '40.0']]"
96,Peter Pustjens,Lokale politiek in Zuid-Limburg : een onderzoek naar de ontwikkelingen in de lokale politiek tussen 1919 en 1982 in een drietal Zuid-Limburgse gemeenten,1988,"[['South Limburg (Netherlands)', '5.86673255', '50.91154475']]"
97,Bartel Dorhout,Onderneming en staat : de Nederlands Zuid Afrikaanse Spoorweg Maatschappij en de Zuid Afrikaanse Republiek 1884-1899,1988,"[['South African Republic', '28.233333', '-25.716667']]"
98,Yvonne Koning,"Onbewoonbaarverklaring en woningverbetering : een studie naar het gemeentelijk beleid ten aanzien van de woningvoorraad in Rotterdam, 1902-1928",1988,"[['Rotterdam', '4.479167', '51.930833']]"
99,Ben Wouters,"""Ziet, hoe zij elkander afkraken"" : het verval van de verzuilde journalistiek",1988,[]
